method,dataset,acc,auroc,f1,loss
bach,bach,60.833333333333336,0.8387316664059957,0.5947865049044291,1.4608454704284668
bach_e2,bach,67.5,0.9212460120519003,0.6744374632835388,1.3521535396575928
finetune_bach_no_rot_aug,bach,84.16666666666667,0.9395947853724161,0.843764583269755,0.5919121503829956
finetune_bach,bach,85.83333333333333,0.9590774575869242,0.8616689443588257,0.5155577560265859
finetune_bach_e2,bach,80.83333333333333,0.9676464796066284,0.8065655827522278,0.5844506820042928
linear_bach_no_rot_aug,bach,77.5,0.9365869363149008,0.7771999835968018,0.7876213391621908
linear_bach,bach,77.5,0.9181951880455017,0.7808051109313965,0.794956386089325
linear_bach_e2,bach,72.5,0.9354780515034994,0.7255638837814331,0.6486781438191732
linear_bach_10perc,bach,72.5,0.9341188470522562,0.7247374653816223,0.680617094039917
linear_bach_e2_10perc,bach,70.0,0.9244490067164103,0.7072463631629944,0.8080581029256185
linear_bach_1perc,bach,72.5,0.8942712942759196,0.7218653559684753,0.8599480986595154
linear_bach_e2_1perc,bach,74.16666666666667,0.9354814291000366,0.7415375709533691,0.6671733458836874
breakhis,breakhis,97.09228824273072,0.996458888053894,0.9671703577041626,0.07666981890460094
breakhis_e2,breakhis,97.47155499367888,0.9939366579055786,0.9715168873469034,0.11367101820257995
linear_breakhis_moco,breakhis,93.173198482933,0.9734848340352377,0.9221434990564982,0.19478938426214887
finetune_breakhis_moco_no_rot_aug,breakhis,98.65149599662874,0.9988523324330648,0.984790027141571,0.04156578588780224
finetune_breakhis_moco,breakhis,98.6093552465234,0.9980689287185669,0.9842575788497925,0.04606819710369684
finetune_breakhis_e2_moco,breakhis,97.9772439949431,0.996857206026713,0.9771729310353597,0.05931765098223644
linear_breakhis_moco,breakhis,93.173198482933,0.9734848340352377,0.9221434990564982,0.19478938426214887
linear_breakhis_moco_no_rot_aug,breakhis,92.54108723135272,0.9667644103368124,0.9152405261993408,0.21034026797743122
linear_breakhis_moco_e2,breakhis,92.92035398230088,0.9758878946304321,0.9199450016021729,0.17997394769667974
linear_breakhis_10perc,breakhis,90.18120522545303,0.9616683721542358,0.8878199458122253,0.24205006751338995
linear_breakhis_e2_10perc,breakhis,90.30762747576908,0.9545502662658691,0.8898992935816447,0.266388957604948
linear_breakhis_1perc,breakhis,81.24736620311842,0.8715283870697021,0.7810782591501871,0.42712978854794265
linear_breakhis_moco_e2_1perc,breakhis,83.43868520859671,0.8948378165562948,0.8082573413848877,0.3816846891063404
nct,nct,91.30454967502322,0.9841874837875366,0.8904358347256979,0.43320067851573313
nct_e2,nct,90.19498607242339,0.9932074546813965,0.8988769253094991,0.3646744184732133
finetune_nct_no_rot_aug,nct,91.1652739090065,0.9899408221244812,0.8986978729565939,0.3667611171948026
finetune_nct,nct,90.61745589600743,0.9884685079256693,0.8943842252095541,0.4381484261265123
finetune_nct_e2_moco,nct,93.24048282265552,0.9903757373491923,0.9230592846870422,0.316465528893908
linear_nct_moco_no_rot_aug,nct,88.7836583101207,0.9904657999674479,0.8476983706156412,0.32581580443413255
linear_nct,nct,89.13184772516247,0.9911479751269022,0.8499691486358643,0.3201428016614836
linear_nct_moco_e2,nct,90.61745589600743,0.99268772204717,0.863766074180603,0.26612759202151465
linear_nct_10perc,nct,89.46610956360261,0.9910296003023783,0.8565077582995096,0.29567783535107933
linear_nct_e2_10perc,nct,91.68059424326833,0.9941149155298868,0.8869690299034119,0.2242456339915372
linear_nct_1perc,nct,86.12349117920148,0.9837928613026937,0.8203994830449423,0.4140850968402962
linear_nct_e2_1perc,nct,89.28969359331477,0.9890326460202535,0.8582936724026998,0.31119484037036355
linear_pcam_moco_no_rot_aug,pcam,77.81270345052083,0.8590685923894247,0.7780407865842184,0.478313516980658
linear_pcam_moco,pcam,77.10774739583333,0.8537873029708862,0.7707769870758057,0.4870631361069779
linear_pcam_moco_e2,pcam,76.41805013020833,0.8446335196495056,0.7641530434290568,0.508728721489509
linear_pcam_10perc,pcam,74.99287923177083,0.8265005350112915,0.7498786648114523,0.5222012881810466
linear_pcam_moco_e2_10perc,pcam,74.43033854166667,0.8183831373850504,0.7441512942314148,0.5441603755267957
linear_pcam_1perc,pcam,67.70121256510417,0.7315780917803446,0.6769858201344808,0.6320137800648808
linear_pcam_moco_e2_1perc,pcam,70.34098307291667,0.7689537008603414,0.7030960917472839,0.6014340973148743
